Katherine Woodville,/wiki/Katherine_Woodville_(actress)
edit,/w/index.php?title=List_of_English_people&action=edit&section=2
George Adamson,/wiki/George_Adamson
Leslie Alcock,/wiki/Leslie_Alcock
Mick Aston,/wiki/Mick_Aston
Richard Atkinson,/wiki/Richard_J._C._Atkinson
Edward Russell Ayrton,/wiki/Edward_Russell_Ayrton
Churchill Babington,/wiki/Churchill_Babington
Philip Arthur Barker,/wiki/Philip_Arthur_Barker
Thomas Bateman,/wiki/Thomas_Bateman
James Theodore Bent,/wiki/James_Theodore_Bent
Geoffrey Bibby,/wiki/Geoffrey_Bibby
Howard Carter,/wiki/Howard_Carter_(archaeologist)
Grahame Clark,/wiki/John_Grahame_Douglas_Clark
David Clarke,/wiki/David_L._Clarke
Barry Cunliffe,/wiki/Barry_Cunliffe
Glyn Daniel,/wiki/Glyn_Daniel
John Disney,/wiki/John_Disney_(archaeologist)
E. E. Evans-Pritchard,/wiki/E._E._Evans-Pritchard
Cyril Fox,/wiki/Cyril_Fox
Dorothy Garrod,/wiki/Dorothy_Garrod
William Greenwell,/wiki/William_Greenwell
Phil Harding,/wiki/Phil_Harding_(archaeologist)
Kathleen Kenyon,/wiki/Kathleen_Kenyon
John Leland,/wiki/John_Leland_(antiquary)
John Lubbock,"/wiki/John_Lubbock,_1st_Baron_Avebury"
Francis Pryor,/wiki/Francis_Pryor
John Robert Mortimer,/wiki/John_Robert_Mortimer
Colin Renfrew,/wiki/Colin_Renfrew
Alice Roberts,/wiki/Alice_Roberts
Andrew Sherratt,/wiki/Andrew_Sherratt
E.B. Tylor,/wiki/Edward_Burnett_Tylor
Mortimer Wheeler,/wiki/Mortimer_Wheeler
edit,/w/index.php?title=List_of_English_people&action=edit&section=3
Hubert Austin,/wiki/Hubert_Austin
Charles Barry,/wiki/Charles_Barry
Houses of Parliament,/wiki/Houses_of_Parliament
George Basevi,/wiki/George_Basevi
William Burges,/wiki/William_Burges
William Butterfield,/wiki/William_Butterfield
Gothic revival,/wiki/Gothic_revival
William Chambers,/wiki/William_Chambers_(architect)
Kew Gardens Pagoda,/wiki/Kew_Gardens#Pagoda
Somerset House,/wiki/Somerset_House
John Douglas,/wiki/John_Douglas_(architect)
Rowland Carter,/wiki/Rowland_Carter
Sir Norman Foster,"/wiki/Norman_Foster,_Baron_Foster_of_Thames_Bank"
